,sents
4271,"None the less they came to Stone Court daily and sat below at the post of duty, sometimes carrying on a slow dialogue in an undertone in which the observation and response were so far apart, that any one hearing them might have imagined himself listening to speaking automata, in some doubt whether the ingenious mechanism would really work, or wind itself up for a long time in order to stick and be silent."
4272,Solomon and Jane would have been sorry to be quick: what that led to might be seen on the other side of the wall in the person of Brother Jonah.
4273,But their watch in the wainscoted parlor was sometimes varied by the presence of other guests from far or near.
4274,"Now that Peter Featherstone was up-stairs, his property could be discussed with all that local enlightenment to be found on the spot: some rural and Middlemarch neighbors expressed much agreement with the family and sympathy with their interest against the Vincys, and feminine visitors were even moved to tears, in conversation with Mrs. Waule, when they recalled the fact that they themselves had been disappointed in times past by codicils and marriages for spite on the part of ungrateful elderly gentlemen, who, it might have been supposed, had been spared for something better."
4275,"Such conversation paused suddenly, like an organ when the bellows are let drop, if Mary Garth came into the room; and all eyes were turned on her as a possible legatee, or one who might get access to iron chests."
4276,"But the younger men who were relatives or connections of the family, were disposed to admire her in this problematic light, as a girl who showed much conduct, and who among all the chances that were flying might turn out to be at least a moderate prize."
4277,Hence she had her share of compliments and polite attentions.
4278,"Especially from Mr. Borthrop Trumbull, a distinguished bachelor and auctioneer of those parts, much concerned in the sale of land and cattle: a public character, indeed, whose name was seen on widely distributed placards, and who might reasonably be sorry for those who did not know of him."
4279,"He was second cousin to Peter Featherstone, and had been treated by him with more amenity than any other relative, being useful in matters of business; and in that programme of his funeral which the old man had himself dictated, he had been named as a Bearer."
4280,"There was no odious cupidity in Mr. Borthrop Trumbull—nothing more than a sincere sense of his own merit, which, he was aware, in case of rivalry might tell against competitors; so that if Peter Featherstone, who so far as he, Trumbull, was concerned, had behaved like as good a soul as ever breathed, should have done anything handsome by him, all he could say was, that he had never fished and fawned, but had advised him to the best of his experience, which now extended over twenty years from the time of his apprenticeship at fifteen, and was likely to yield a knowledge of no surreptitious kind."
4281,"His admiration was far from being confined to himself, but was accustomed professionally as well as privately to delight in estimating things at a high rate."
4282,"He was an amateur of superior phrases, and never used poor language without immediately correcting himself—which was fortunate, as he was rather loud, and given to predominate, standing or walking about frequently, pulling down his waistcoat with the air of a man who is very much of his own opinion, trimming himself rapidly with his fore-finger, and marking each new series in these movements by a busy play with his large seals."
4283,"There was occasionally a little fierceness in his demeanor, but it was directed chiefly against false opinion, of which there is so much to correct in the world that a man of some reading and experience necessarily has his patience tried."
4284,"He felt that the Featherstone family generally was of limited understanding, but being a man of the world and a public character, took everything as a matter of course, and even went to converse with Mr. Jonah and young Cranch in the kitchen, not doubting that he had impressed the latter greatly by his leading questions concerning the Chalky Flats."
4285,"If anybody had observed that Mr. Borthrop Trumbull, being an auctioneer, was bound to know the nature of everything, he would have smiled and trimmed himself silently with the sense that he came pretty near that."
4286,"On the whole, in an auctioneering way, he was an honorable man, not ashamed of his business, and feeling that “the celebrated Peel, now Sir Robert,” if introduced to him, would not fail to recognize his importance."
4287,"“I don’t mind if I have a slice of that ham, and a glass of that ale, Miss Garth, if you will allow me,” he said, coming into the parlor at half-past eleven, after having had the exceptional privilege of seeing old Featherstone, and standing with his back to the fire between Mrs. Waule and Solomon."
4288,"“It’s not necessary for you to go out;—let me ring the bell.”  “Thank you,” said Mary, “I have an errand.”  “Well, Mr. Trumbull, you’re highly favored,” said Mrs. Waule."
4289,“What!
4290,"seeing the old man?” said the auctioneer, playing with his seals dispassionately."
4291,"“Ah, you see he has relied on me considerably.” Here he pressed his lips together, and frowned meditatively."
4292,"“Might anybody ask what their brother has been saying?” said Solomon, in a soft tone of humility, in which he had a sense of luxurious cunning, he being a rich man and not in need of it."
4293,"“Oh yes, anybody may ask,” said Mr. Trumbull, with loud and good-humored though cutting sarcasm."
4294,“Anybody may interrogate.
4295,"Any one may give their remarks an interrogative turn,” he continued, his sonorousness rising with his style."
4296,"“This is constantly done by good speakers, even when they anticipate no answer."
4297,"It is what we call a figure of speech—speech at a high figure, as one may say.” The eloquent auctioneer smiled at his own ingenuity."
4298,"“I shouldn’t be sorry to hear he’d remembered you, Mr. Trumbull,” said Solomon."
4299,“I never was against the deserving.
4300,"It’s the undeserving I’m against.”  “Ah, there it is, you see, there it is,” said Mr. Trumbull, significantly."
4301,"“It can’t be denied that undeserving people have been legatees, and even residuary legatees."
4302,"It is so, with testamentary dispositions.” Again he pursed up his lips and frowned a little."
4303,"“Do you mean to say for certain, Mr. Trumbull, that my brother has left his land away from our family?” said Mrs. Waule, on whom, as an unhopeful woman, those long words had a depressing effect."
4304,"“A man might as well turn his land into charity land at once as leave it to some people,” observed Solomon, his sister’s question having drawn no answer."
4305,"“What, Blue-Coat land?” said Mrs. Waule, again."
4306,"“Oh, Mr. Trumbull, you never can mean to say that."
4307,"It would be flying in the face of the Almighty that’s prospered him.”  While Mrs. Waule was speaking, Mr. Borthrop Trumbull walked away from the fireplace towards the window, patrolling with his fore-finger round the inside of his stock, then along his whiskers and the curves of his hair."
4308,"He now walked to Miss Garth’s work-table, opened a book which lay there and read the title aloud with pompous emphasis as if he were offering it for sale:  “‘Anne of Geierstein’ (pronounced Jeersteen) or the ‘Maiden of the Mist, by the author of Waverley.’” Then turning the page, he began sonorously—“The course of four centuries has well-nigh elapsed since the series of events which are related in the following chapters took place on the Continent.” He pronounced the last truly admirable word with the accent on the last syllable, not as unaware of vulgar usage, but feeling that this novel delivery enhanced the sonorous beauty which his reading had given to the whole."
4309,"And now the servant came in with the tray, so that the moments for answering Mrs. Waule’s question had gone by safely, while she and Solomon, watching Mr. Trumbull’s movements, were thinking that high learning interfered sadly with serious affairs."
4310,Mr. Borthrop Trumbull really knew nothing about old Featherstone’s will; but he could hardly have been brought to declare any ignorance unless he had been arrested for misprision of treason.
4311,"“I shall take a mere mouthful of ham and a glass of ale,” he said, reassuringly."
4312,"“As a man with public business, I take a snack when I can."
4313,"I will back this ham,” he added, after swallowing some morsels with alarming haste, “against any ham in the three kingdoms."
4314,"In my opinion it is better than the hams at Freshitt Hall—and I think I am a tolerable judge.”  “Some don’t like so much sugar in their hams,” said Mrs. Waule."
4315,"“But my poor brother would always have sugar.”  “If any person demands better, he is at liberty to do so; but, God bless me, what an aroma!"
4316,"I should be glad to buy in that quality, I know."
4317,"There is some gratification to a gentleman”—here Mr. Trumbull’s voice conveyed an emotional remonstrance—“in having this kind of ham set on his table.”  He pushed aside his plate, poured out his glass of ale and drew his chair a little forward, profiting by the occasion to look at the inner side of his legs, which he stroked approvingly—Mr."
4318,Trumbull having all those less frivolous airs and gestures which distinguish the predominant races of the north.
4319,"“You have an interesting work there, I see, Miss Garth,” he observed, when Mary re-entered."
4320,“It is by the author of ‘Waverley’: that is Sir Walter Scott.
4321,"I have bought one of his works myself—a very nice thing, a very superior publication, entitled ‘Ivanhoe.’ You will not get any writer to beat him in a hurry, I think—he will not, in my opinion, be speedily surpassed."
4322,"I have just been reading a portion at the commencement of ‘Anne of Jeersteen.’ It commences well.” (Things never began with Mr. Borthrop Trumbull: they always commenced, both in private life and on his handbills.)"
4323,"“You are a reader, I see."
4324,"Do you subscribe to our Middlemarch library?”  “No,” said Mary."
4325,“Mr.
4326,"Fred Vincy brought this book.”  “I am a great bookman myself,” returned Mr. Trumbull."
4327,"“I have no less than two hundred volumes in calf, and I flatter myself they are well selected."
4328,"Also pictures by Murillo, Rubens, Teniers, Titian, Vandyck, and others."
4329,"I shall be happy to lend you any work you like to mention, Miss Garth.”  “I am much obliged,” said Mary, hastening away again, “but I have little time for reading.”  “I should say my brother has done something for her in his will,” said Mr. Solomon, in a very low undertone, when she had shut the door behind her, pointing with his head towards the absent Mary."
4330,"“His first wife was a poor match for him, though,” said Mrs. Waule."
4331,"“She brought him nothing: and this young woman is only her niece,—and very proud."
4332,"And my brother has always paid her wage.”  “A sensible girl though, in my opinion,” said Mr. Trumbull, finishing his ale and starting up with an emphatic adjustment of his waistcoat."
4333,“I have observed her when she has been mixing medicine in drops.
4334,"She minds what she is doing, sir."
4335,"That is a great point in a woman, and a great point for our friend up-stairs, poor dear old soul."
4336,"A man whose life is of any value should think of his wife as a nurse: that is what I should do, if I married; and I believe I have lived single long enough not to make a mistake in that line."
4337,"Some men must marry to elevate themselves a little, but when I am in need of that, I hope some one will tell me so—I hope some individual will apprise me of the fact."
4338,"I wish you good morning, Mrs. Waule."
4339,"Good morning, Mr. Solomon."
4340,"I trust we shall meet under less melancholy auspices.”  When Mr. Trumbull had departed with a fine bow, Solomon, leaning forward, observed to his sister, “You may depend, Jane, my brother has left that girl a lumping sum.”  “Anybody would think so, from the way Mr. Trumbull talks,” said Jane."
4341,"Then, after a pause, “He talks as if my daughters wasn’t to be trusted to give drops.”  “Auctioneers talk wild,” said Solomon."
4342,“Not but what Trumbull has made money.”
4343, “Close up his eyes and draw the curtain close; And let us all to meditation.” —2 Henry VI.
4344,"That night after twelve o’clock Mary Garth relieved the watch in Mr. Featherstone’s room, and sat there alone through the small hours."
4345,"She often chose this task, in which she found some pleasure, notwithstanding the old man’s testiness whenever he demanded her attentions."
4346,"There were intervals in which she could sit perfectly still, enjoying the outer stillness and the subdued light."
4347,"The red fire with its gently audible movement seemed like a solemn existence calmly independent of the petty passions, the imbecile desires, the straining after worthless uncertainties, which were daily moving her contempt."
4348,"Mary was fond of her own thoughts, and could amuse herself well sitting in twilight with her hands in her lap; for, having early had strong reason to believe that things were not likely to be arranged for her peculiar satisfaction, she wasted no time in astonishment and annoyance at that fact."
4349,"And she had already come to take life very much as a comedy in which she had a proud, nay, a generous resolution not to act the mean or treacherous part."
4350,"Mary might have become cynical if she had not had parents whom she honored, and a well of affectionate gratitude within her, which was all the fuller because she had learned to make no unreasonable claims."
4351,"She sat to-night revolving, as she was wont, the scenes of the day, her lips often curling with amusement at the oddities to which her fancy added fresh drollery: people were so ridiculous with their illusions, carrying their fool’s caps unawares, thinking their own lies opaque while everybody else’s were transparent, making themselves exceptions to everything, as if when all the world looked yellow under a lamp they alone were rosy."
4352,Yet there were some illusions under Mary’s eyes which were not quite comic to her.
4353,"She was secretly convinced, though she had no other grounds than her close observation of old Featherstone’s nature, that in spite of his fondness for having the Vincys about him, they were as likely to be disappointed as any of the relations whom he kept at a distance."
4354,"She had a good deal of disdain for Mrs. Vincy’s evident alarm lest she and Fred should be alone together, but it did not hinder her from thinking anxiously of the way in which Fred would be affected, if it should turn out that his uncle had left him as poor as ever."
4355,"She could make a butt of Fred when he was present, but she did not enjoy his follies when he was absent."
4356,"Yet she liked her thoughts: a vigorous young mind not overbalanced by passion, finds a good in making acquaintance with life, and watches its own powers with interest."
4357,Mary had plenty of merriment within.
4358,Her thought was not veined by any solemnity or pathos about the old man on the bed: such sentiments are easier to affect than to feel about an aged creature whose life is not visibly anything but a remnant of vices.
4359,"She had always seen the most disagreeable side of Mr. Featherstone: he was not proud of her, and she was only useful to him."
4360,To be anxious about a soul that is always snapping at you must be left to the saints of the earth; and Mary was not one of them.
4361,"She had never returned him a harsh word, and had waited on him faithfully: that was her utmost."
4362,"Old Featherstone himself was not in the least anxious about his soul, and had declined to see Mr. Tucker on the subject."
4363,"To-night he had not snapped, and for the first hour or two he lay remarkably still, until at last Mary heard him rattling his bunch of keys against the tin box which he always kept in the bed beside him."
4364,"About three o’clock he said, with remarkable distinctness, “Missy, come here!”  Mary obeyed, and found that he had already drawn the tin box from under the clothes, though he usually asked to have this done for him; and he had selected the key."
4365,"He now unlocked the box, and, drawing from it another key, looked straight at her with eyes that seemed to have recovered all their sharpness and said, “How many of ’em are in the house?”  “You mean of your own relations, sir,” said Mary, well used to the old man’s way of speech."
4366,He nodded slightly and she went on.
4367,“Mr.
4368,"Jonah Featherstone and young Cranch are sleeping here.”  “Oh ay, they stick, do they?"
4369,"and the rest—they come every day, I’ll warrant—Solomon and Jane, and all the young uns?"
4370,"They come peeping, and counting and casting up?”  “Not all of them every day."
4371,"Mr. Solomon and Mrs. Waule are here every day, and the others come often.”  The old man listened with a grimace while she spoke, and then said, relaxing his face, “The more fools they."
4372,"You hearken, missy."
4373,"It’s three o’clock in the morning, and I’ve got all my faculties as well as ever I had in my life."
4374,"I know all my property, and where the money’s put out, and everything."
4375,"And I’ve made everything ready to change my mind, and do as I like at the last."
4376,"Do you hear, missy?"
4377,"I’ve got my faculties.”  “Well, sir?” said Mary, quietly."
4378,He now lowered his tone with an air of deeper cunning.
4379,"“I’ve made two wills, and I’m going to burn one."
4380,Now you do as I tell you.
4381,"This is the key of my iron chest, in the closet there."
4382,"You push well at the side of the brass plate at the top, till it goes like a bolt: then you can put the key in the front lock and turn it."
4383,"See and do that; and take out the topmost paper—Last Will and Testament—big printed.”  “No, sir,” said Mary, in a firm voice, “I cannot do that.”  “Not do it?"
4384,"I tell you, you must,” said the old man, his voice beginning to shake under the shock of this resistance."
4385,“I cannot touch your iron chest or your will.
4386,"I must refuse to do anything that might lay me open to suspicion.”  “I tell you, I’m in my right mind."
4387,Shan’t I do as I like at the last?
4388,I made two wills on purpose.
4389,"Take the key, I say.”  “No, sir, I will not,” said Mary, more resolutely still."
4390,Her repulsion was getting stronger.
4391,"“I tell you, there’s no time to lose.”  “I cannot help that, sir."
4392,I will not let the close of your life soil the beginning of mine.
4393,I will not touch your iron chest or your will.” She moved to a little distance from the bedside.
4394,"The old man paused with a blank stare for a little while, holding the one key erect on the ring; then with an agitated jerk he began to work with his bony left hand at emptying the tin box before him."
4395,"“Missy,” he began to say, hurriedly, “look here!"
4396,"take the money—the notes and gold—look here—take it—you shall have it all—do as I tell you.”  He made an effort to stretch out the key towards her as far as possible, and Mary again retreated."
4397,"“I will not touch your key or your money, sir."
4398,Pray don’t ask me to do it again.
4399,"If you do, I must go and call your brother.”  He let his hand fall, and for the first time in her life Mary saw old Peter Featherstone begin to cry childishly."
4400,"She said, in as gentle a tone as she could command, “Pray put up your money, sir;” and then went away to her seat by the fire, hoping this would help to convince him that it was useless to say more."
4401,"Presently he rallied and said eagerly—  “Look here, then."
4402,Call the young chap.
4403,Call Fred Vincy.”  Mary’s heart began to beat more quickly.
4404,Various ideas rushed through her mind as to what the burning of a second will might imply.
4405,She had to make a difficult decision in a hurry.
4406,"“I will call him, if you will let me call Mr. Jonah and others with him.”  “Nobody else, I say."
4407,The young chap.
4408,"I shall do as I like.”  “Wait till broad daylight, sir, when every one is stirring."
4409,"Or let me call Simmons now, to go and fetch the lawyer?"
4410,He can be here in less than two hours.”  “Lawyer?
4411,What do I want with the lawyer?
4412,"Nobody shall know—I say, nobody shall know."
4413,"I shall do as I like.”  “Let me call some one else, sir,” said Mary, persuasively."
4414,"She did not like her position—alone with the old man, who seemed to show a strange flaring of nervous energy which enabled him to speak again and again without falling into his usual cough; yet she desired not to push unnecessarily the contradiction which agitated him."
4415,"“Let me, pray, call some one else.”  “You let me alone, I say."
4416,"Look here, missy."
4417,Take the money.
4418,You’ll never have the chance again.
4419,"It’s pretty nigh two hundred—there’s more in the box, and nobody knows how much there was."
4420,"Take it and do as I tell you.”  Mary, standing by the fire, saw its red light falling on the old man, propped up on his pillows and bed-rest, with his bony hand holding out the key, and the money lying on the quilt before him."
4421,She never forgot that vision of a man wanting to do as he liked at the last.
4422,But the way in which he had put the offer of the money urged her to speak with harder resolution than ever.
4423,"“It is of no use, sir."
4424,I will not do it.
4425,Put up your money.
4426,I will not touch your money.
4427,"I will do anything else I can to comfort you; but I will not touch your keys or your money.”  “Anything else—anything else!” said old Featherstone, with hoarse rage, which, as if in a nightmare, tried to be loud, and yet was only just audible."
4428,“I want nothing else.
4429,"You come here—you come here.”  Mary approached him cautiously, knowing him too well."
4430,"She saw him dropping his keys and trying to grasp his stick, while he looked at her like an aged hyena, the muscles of his face getting distorted with the effort of his hand."
4431,She paused at a safe distance.
4432,"“Let me give you some cordial,” she said, quietly, “and try to compose yourself."
4433,You will perhaps go to sleep.
4434,"And to-morrow by daylight you can do as you like.”  He lifted the stick, in spite of her being beyond his reach, and threw it with a hard effort which was but impotence."
4435,"It fell, slipping over the foot of the bed."
4436,"Mary let it lie, and retreated to her chair by the fire."
4437,By-and-by she would go to him with the cordial.
4438,Fatigue would make him passive.
4439,"It was getting towards the chillest moment of the morning, the fire had got low, and she could see through the chink between the moreen window-curtains the light whitened by the blind."
4440,"Having put some wood on the fire and thrown a shawl over her, she sat down, hoping that Mr. Featherstone might now fall asleep."
4441,If she went near him the irritation might be kept up.
4442,"He had said nothing after throwing the stick, but she had seen him taking his keys again and laying his right hand on the money."
4443,"He did not put it up, however, and she thought that he was dropping off to sleep."
4444,"But Mary herself began to be more agitated by the remembrance of what she had gone through, than she had been by the reality—questioning those acts of hers which had come imperatively and excluded all question in the critical moment."
4445,"Presently the dry wood sent out a flame which illuminated every crevice, and Mary saw that the old man was lying quietly with his head turned a little on one side."
4446,"She went towards him with inaudible steps, and thought that his face looked strangely motionless; but the next moment the movement of the flame communicating itself to all objects made her uncertain."
4447,"The violent beating of her heart rendered her perceptions so doubtful that even when she touched him and listened for his breathing, she could not trust her conclusions."
4448,"She went to the window and gently propped aside the curtain and blind, so that the still light of the sky fell on the bed."
4449,The next moment she ran to the bell and rang it energetically.
4450,"In a very little while there was no longer any doubt that Peter Featherstone was dead, with his right hand clasping the keys, and his left hand lying on the heap of notes and gold."
4451, “1st Gent.
4452,"Such men as this are feathers, chips, and straws,     Carry no weight, no force."
4453,2d Gent.
4454,"But levity     Is causal too, and makes the sum of weight."
4455,"For power finds its place in lack of power;     Advance is cession, and the driven ship     May run aground because the helmsman’s thought     Lacked force to balance opposites.”  It was on a morning of May that Peter Featherstone was buried."
4456,"In the prosaic neighborhood of Middlemarch, May was not always warm and sunny, and on this particular morning a chill wind was blowing the blossoms from the surrounding gardens on to the green mounds of Lowick churchyard."
4457,"Swiftly moving clouds only now and then allowed a gleam to light up any object, whether ugly or beautiful, that happened to stand within its golden shower."
4458,"In the churchyard the objects were remarkably various, for there was a little country crowd waiting to see the funeral."
4459,"The news had spread that it was to be a “big burying;” the old gentleman had left written directions about everything and meant to have a funeral “beyond his betters.” This was true; for old Featherstone had not been a Harpagon whose passions had all been devoured by the ever-lean and ever-hungry passion of saving, and who would drive a bargain with his undertaker beforehand."
4460,"He loved money, but he also loved to spend it in gratifying his peculiar tastes, and perhaps he loved it best of all as a means of making others feel his power more or less uncomfortably."
4461,"If any one will here contend that there must have been traits of goodness in old Featherstone, I will not presume to deny this; but I must observe that goodness is of a modest nature, easily discouraged, and when much privacy, elbowed in early life by unabashed vices, is apt to retire into extreme privacy, so that it is more easily believed in by those who construct a selfish old gentleman theoretically, than by those who form the narrower judgments based on his personal acquaintance."
4462,"In any case, he had been bent on having a handsome funeral, and on having persons “bid” to it who would rather have stayed at home."
4463,"He had even desired that female relatives should follow him to the grave, and poor sister Martha had taken a difficult journey for this purpose from the Chalky Flats."
4464,"She and Jane would have been altogether cheered (in a tearful manner) by this sign that a brother who disliked seeing them while he was living had been prospectively fond of their presence when he should have become a testator, if the sign had not been made equivocal by being extended to Mrs. Vincy, whose expense in handsome crape seemed to imply the most presumptuous hopes, aggravated by a bloom of complexion which told pretty plainly that she was not a blood-relation, but of that generally objectionable class called wife’s kin."
4465,"We are all of us imaginative in some form or other, for images are the brood of desire; and poor old Featherstone, who laughed much at the way in which others cajoled themselves, did not escape the fellowship of illusion."
4466,In writing the programme for his burial he certainly did not make clear to himself that his pleasure in the little drama of which it formed a part was confined to anticipation.
4467,"In chuckling over the vexations he could inflict by the rigid clutch of his dead hand, he inevitably mingled his consciousness with that livid stagnant presence, and so far as he was preoccupied with a future life, it was with one of gratification inside his coffin."
4468,"Thus old Featherstone was imaginative, after his fashion."
4469,"However, the three mourning-coaches were filled according to the written orders of the deceased."
4470,"There were pall-bearers on horseback, with the richest scarfs and hatbands, and even the under-bearers had trappings of woe which were of a good well-priced quality."
4471,"The black procession, when dismounted, looked the larger for the smallness of the churchyard; the heavy human faces and the black draperies shivering in the wind seemed to tell of a world strangely incongruous with the lightly dropping blossoms and the gleams of sunshine on the daisies."
4472,"The clergyman who met the procession was Mr. Cadwallader—also according to the request of Peter Featherstone, prompted as usual by peculiar reasons."
4473,"Having a contempt for curates, whom he always called understrappers, he was resolved to be buried by a beneficed clergyman."
4474,"Mr. Casaubon was out of the question, not merely because he declined duty of this sort, but because Featherstone had an especial dislike to him as the rector of his own parish, who had a lien on the land in the shape of tithe, also as the deliverer of morning sermons, which the old man, being in his pew and not at all sleepy, had been obliged to sit through with an inward snarl."
4475,He had an objection to a parson stuck up above his head preaching to him.
4476,"But his relations with Mr. Cadwallader had been of a different kind: the trout-stream which ran through Mr. Casaubon’s land took its course through Featherstone’s also, so that Mr. Cadwallader was a parson who had had to ask a favor instead of preaching."
4477,"Moreover, he was one of the high gentry living four miles away from Lowick, and was thus exalted to an equal sky with the sheriff of the county and other dignities vaguely regarded as necessary to the system of things."
4478,"There would be a satisfaction in being buried by Mr. Cadwallader, whose very name offered a fine opportunity for pronouncing wrongly if you liked."
4479,This distinction conferred on the Rector of Tipton and Freshitt was the reason why Mrs. Cadwallader made one of the group that watched old Featherstone’s funeral from an upper window of the manor.
4480,"She was not fond of visiting that house, but she liked, as she said, to see collections of strange animals such as there would be at this funeral; and she had persuaded Sir James and the young Lady Chettam to drive the Rector and herself to Lowick in order that the visit might be altogether pleasant."
4481,"“I will go anywhere with you, Mrs. Cadwallader,” Celia had said; “but I don’t like funerals.”  “Oh, my dear, when you have a clergyman in your family you must accommodate your tastes: I did that very early."
4482,"When I married Humphrey I made up my mind to like sermons, and I set out by liking the end very much."
4483,"That soon spread to the middle and the beginning, because I couldn’t have the end without them.”  “No, to be sure not,” said the Dowager Lady Chettam, with stately emphasis."
4484,"The upper window from which the funeral could be well seen was in the room occupied by Mr. Casaubon when he had been forbidden to work; but he had resumed nearly his habitual style of life now in spite of warnings and prescriptions, and after politely welcoming Mrs. Cadwallader had slipped again into the library to chew a cud of erudite mistake about Cush and Mizraim."
4485,"But for her visitors Dorothea too might have been shut up in the library, and would not have witnessed this scene of old Featherstone’s funeral, which, aloof as it seemed to be from the tenor of her life, always afterwards came back to her at the touch of certain sensitive points in memory, just as the vision of St. Peter’s at Rome was inwoven with moods of despondency."
4486,"Scenes which make vital changes in our neighbors’ lot are but the background of our own, yet, like a particular aspect of the fields and trees, they become associated for us with the epochs of our own history, and make a part of that unity which lies in the selection of our keenest consciousness."
4487,The dream-like association of something alien and ill-understood with the deepest secrets of her experience seemed to mirror that sense of loneliness which was due to the very ardor of Dorothea’s nature.
4488,The country gentry of old time lived in a rarefied social air: dotted apart on their stations up the mountain they looked down with imperfect discrimination on the belts of thicker life below.
4489,And Dorothea was not at ease in the perspective and chilliness of that height.
4490,"“I shall not look any more,” said Celia, after the train had entered the church, placing herself a little behind her husband’s elbow so that she could slyly touch his coat with her cheek."
4491,"“I dare say Dodo likes it: she is fond of melancholy things and ugly people.”  “I am fond of knowing something about the people I live among,” said Dorothea, who had been watching everything with the interest of a monk on his holiday tour."
4492,"“It seems to me we know nothing of our neighbors, unless they are cottagers."
4493,"One is constantly wondering what sort of lives other people lead, and how they take things."
4494,"I am quite obliged to Mrs. Cadwallader for coming and calling me out of the library.”  “Quite right to feel obliged to me,” said Mrs. Cadwallader."
4495,"“Your rich Lowick farmers are as curious as any buffaloes or bisons, and I dare say you don’t half see them at church."
4496,"They are quite different from your uncle’s tenants or Sir James’s—monsters—farmers without landlords—one can’t tell how to class them.”  “Most of these followers are not Lowick people,” said Sir James; “I suppose they are legatees from a distance, or from Middlemarch."
4497,Lovegood tells me the old fellow has left a good deal of money as well as land.”  “Think of that now!
4498,"when so many younger sons can’t dine at their own expense,” said Mrs. Cadwallader."
4499,"“Ah,” turning round at the sound of the opening door, “here is Mr. Brooke."
4500,"I felt that we were incomplete before, and here is the explanation."
4501,"You are come to see this odd funeral, of course?”  “No, I came to look after Casaubon—to see how he goes on, you know."
4502,"And to bring a little news—a little news, my dear,” said Mr. Brooke, nodding at Dorothea as she came towards him."
4503,"“I looked into the library, and I saw Casaubon over his books."
4504,"I told him it wouldn’t do: I said, ‘This will never do, you know: think of your wife, Casaubon.’ And he promised me to come up."
4505,"I didn’t tell him my news: I said, he must come up.”  “Ah, now they are coming out of church,” Mrs. Cadwallader exclaimed."
4506,"“Dear me, what a wonderfully mixed set!"
4507,"Mr. Lydgate as doctor, I suppose."
4508,"But that is really a good looking woman, and the fair young man must be her son."
4509,"Who are they, Sir James, do you know?”  “I see Vincy, the Mayor of Middlemarch; they are probably his wife and son,” said Sir James, looking interrogatively at Mr. Brooke, who nodded and said—  “Yes, a very decent family—a very good fellow is Vincy; a credit to the manufacturing interest."
4510,"You have seen him at my house, you know.”  “Ah, yes: one of your secret committee,” said Mrs. Cadwallader, provokingly."
4511,"“A coursing fellow, though,” said Sir James, with a fox-hunter’s disgust."
4512,“And one of those who suck the life out of the wretched handloom weavers in Tipton and Freshitt.
4513,"That is how his family look so fair and sleek,” said Mrs. Cadwallader."
4514,"“Those dark, purple-faced people are an excellent foil."
4515,"Dear me, they are like a set of jugs!"
4516,"Do look at Humphrey: one might fancy him an ugly archangel towering above them in his white surplice.”  “It’s a solemn thing, though, a funeral,” said Mr. Brooke, “if you take it in that light, you know.”  “But I am not taking it in that light."
4517,"I can’t wear my solemnity too often, else it will go to rags."
4518,"It was time the old man died, and none of these people are sorry.”  “How piteous!” said Dorothea."
4519,“This funeral seems to me the most dismal thing I ever saw.
4520,It is a blot on the morning.
4521,"I cannot bear to think that any one should die and leave no love behind.”  She was going to say more, but she saw her husband enter and seat himself a little in the background."
4522,The difference his presence made to her was not always a happy one: she felt that he often inwardly objected to her speech.
4523,"“Positively,” exclaimed Mrs. Cadwallader, “there is a new face come out from behind that broad man queerer than any of them: a little round head with bulging eyes—a sort of frog-face—do look."
4524,"He must be of another blood, I think.”  “Let me see!” said Celia, with awakened curiosity, standing behind Mrs. Cadwallader and leaning forward over her head."
4525,"“Oh, what an odd face!” Then with a quick change to another sort of surprised expression, she added, “Why, Dodo, you never told me that Mr. Ladislaw was come again!”  Dorothea felt a shock of alarm: every one noticed her sudden paleness as she looked up immediately at her uncle, while Mr. Casaubon looked at her."
4526,"“He came with me, you know; he is my guest—puts up with me at the Grange,” said Mr. Brooke, in his easiest tone, nodding at Dorothea, as if the announcement were just what she might have expected."
4527,“And we have brought the picture at the top of the carriage.
4528,"I knew you would be pleased with the surprise, Casaubon."
4529,"There you are to the very life—as Aquinas, you know."
4530,Quite the right sort of thing.
4531,And you will hear young Ladislaw talk about it.
4532,"He talks uncommonly well—points out this, that, and the other—knows art and everything of that kind—companionable, you know—is up with you in any track—what I’ve been wanting a long while.”  Mr. Casaubon bowed with cold politeness, mastering his irritation, but only so far as to be silent."
4533,"He remembered Will’s letter quite as well as Dorothea did; he had noticed that it was not among the letters which had been reserved for him on his recovery, and secretly concluding that Dorothea had sent word to Will not to come to Lowick, he had shrunk with proud sensitiveness from ever recurring to the subject."
4534,He now inferred that she had asked her uncle to invite Will to the Grange; and she felt it impossible at that moment to enter into any explanation.
4535,"Mrs. Cadwallader’s eyes, diverted from the churchyard, saw a good deal of dumb show which was not so intelligible to her as she could have desired, and could not repress the question, “Who is Mr. Ladislaw?”  “A young relative of Mr. Casaubon’s,” said Sir James, promptly."
4536,"His good-nature often made him quick and clear-seeing in personal matters, and he had divined from Dorothea’s glance at her husband that there was some alarm in her mind."
4537,"“A very nice young fellow—Casaubon has done everything for him,” explained Mr. Brooke."
4538,"“He repays your expense in him, Casaubon,” he went on, nodding encouragingly."
4539,“I hope he will stay with me a long while and we shall make something of my documents.
4540,"I have plenty of ideas and facts, you know, and I can see he is just the man to put them into shape—remembers what the right quotations are, omne tulit punctum, and that sort of thing—gives subjects a kind of turn."
